Date;SOB 31;MEX 31;;;
14/09/2018;5.85;8.06;;;
21/09/2018;5.86;8.10;;;
28/09/2018;5.90;8.02;;;
5/10/2018;5.96;8.15;;;
12/10/2018;6.02;8.22;;;
19/10/2018;5.99;8.29;;;
26/10/2018;6.10;8.42;;;
2/11/2018;6.18;8.88;;;
9/11/2018;6.04;9.00;;;
16/11/2018;6.07;9.22;;;
23/11/2018;5.95;9.24;;;
30/11/2018;6.00;9.40;;;
7/12/2018;6.05;9.28;;;
14/12/2018;6.11;9.12;;;
21/12/2018;5.98;8.82;;;
28/12/2018;5.92;8.77;;;
4/01/2019;5.88;8.54;;;
11/01/2019;5.86;8.83;;;
18/01/2019;5.93;8.81;;;
25/01/2019;5.93;8.53;;;
1/02/2019;5.93;8.57;;;
8/02/2019;5.77;8.48;;;
15/02/2019;5.77;8.52;;;
22/02/2019;5.77;8.47;;;
1/03/2019;5.76;8.38;;;
8/03/2019;5.73;8.27;;;
15/03/2019;5.59;8.20;;;
22/03/2019;5.47;8.10;;;
29/03/2019;5.52;8.19;;;
5/04/2019;5.46;8.15;;;
12/04/2019;5.54;8.08;;;
19/04/2019;5.53;8.19;;;
26/04/2019;5.54;8.23;;;
3/05/2019;5.50;8.25;;;
10/05/2019;5.51;8.27;;;
17/05/2019;5.46;8.21;;;
24/05/2019;5.35;8.12;;;
31/05/2019;5.34;8.14;;;
7/06/2019;5.34;8.03;;;
14/06/2019;5.17;7.72;;;
21/06/2019;5.00;7.71;;;
28/06/2019;5.01;7.61;;;
5/07/2019;4.94;7.42;;;
12/07/2019;4.87;7.68;;;
19/07/2019;4.67;7.57;;;
26/07/2019;4.54;7.62;;;
2/08/2019;4.64;7.53;;;
9/08/2019;4.62;7.25;;;
16/08/2019;4.47;7.04;;;
23/08/2019;4.49;7.08;;;
30/08/2019;4.48;7.09;;;
6/09/2019;4.39;7.06;;;
13/09/2019;4.42;7.34;;;
20/09/2019;4.55;7.07;;;
27/09/2019;4.57;6.99;;;
4/10/2019;4.53;6.84;;;
11/10/2019;4.31;6.83;;;
18/10/2019;4.32;6.91;;;
25/10/2019;4.46;6.94;;;
1/11/2019;4.55;6.86;;;
8/11/2019;4.51;6.96;;;
15/11/2019;4.71;7.00;;;
22/11/2019;4.70;7.11;;;
29/11/2019;4.71;7.13;;;
6/12/2019;4.65;7.02;;;
13/12/2019;4.53;6.84;;;
20/12/2019;4.59;6.99;;;
27/12/2019;4.57;6.88;;;
3/01/2020;4.56;6.81;;;
10/01/2020;4.55;6.87;;;
17/01/2020;4.53;6.88;;;
24/01/2020;4.46;6.87;;;
31/01/2020;4.36;6.67;;;
7/02/2020;4.30;6.69;;;
14/02/2020;4.27;6.59;;;
21/02/2020;4.19;6.58;;;
28/02/2020;4.42;6.89;;;
6/03/2020;4.05;6.41;;;
13/03/2020;5.24;7.71;;;
20/03/2020;6.41;7.66;;;
27/03/2020;6.41;7.27;;;
3/04/2020;6.41;7.48;;;
10/04/2020;5.40;7.37;;;
17/04/2020;4.68;7.07;;;
24/04/2020;4.72;7.09;;;
1/05/2020;4.79;6.90;;;
8/05/2020;4.47;6.10;;;
15/05/2020;4.40;6.31;;;
22/05/2020;4.28;6.43;;;
29/05/2020;4.31;6.36;;;
5/06/2020;4.40;6.47;;;
12/06/2020;4.42;6.21;;;
